

orden,nombre,genero,fecha_nac,edad,pais,deporte
1,"Esteban Lucero",Masculino,1997-06-07,27,Afghanistan,"Gimnasia Artística"
2,"Lucia Gomez",Femenino,1993-02-17,31,Bahrain,Triatlón
3,"Olivette Gook","No Binario",1990-12-28,27,China,"Gimnasia en Trampolin"
4,"Geno Ickowicz",Masculino,1995-03-01,24,Russia,"Gimnasia Artística"
5,"Nicki McKinlay",Femenino,1994-07-05,31,China,Triatlón
6,"Selma Ambrogetti",Femenino,1995-10-26,33,Armenia,"Gimnasia en Trampolin"
7,"Scarlett Heaphy","No Binario",1999-03-12,31,Ukraine,Triatlón
8,"Elayne Carlsson",Femenino,1992-01-05,32,Sweden,"Gimnasia Artística"
9,"Kit Syseland","No Binario",1997-02-18,32,Japan,"Gimnasia Artística"
10,"Catalina Frontera",Femenino,2000-06-03,23,Spain,Triatlón
11,"Valentia Flello",Masculino,1997-12-12,30,Peru,Triatlón
12,"Maurice Bettington",Femenino,2000-03-15,33,Iceland,Triatlón
13,"Merna Ewer","No Binario",1991-06-21,23,China,Triatlón
14,"Ivar Mulford",Femenino,1996-07-08,32,Spain,Triatlón
15,"Auroora Diviny","No Binario",2000-08-25,19,Indonesia,"Gimnasia Artística"
16,"Cayla Workes",Femenino,1991-07-31,27,Indonesia,"Gimnasia en Trampolin"
17,"Lucia Lainez",Masculino,1997-06-07,27,Afghanistan,"Gimnasia Artística"
